dataset,prob,Version,run,Training,Type,avg_dist
ESEU,60-40,SP-BQ,5,Untrained,ES+ v L1,0.49619079215154
ESEU,60-40,SP-BQ,5,Untrained,ES- v L1,0.518817523119268
ESEU,60-40,SP-BQ,6,Untrained,ES+,0.25730094533606274
ESEU,60-40,SP-BQ,6,Untrained,ES-,0.27479741424263654
ESEU,60-40,SP-BQ,6,Untrained,ES+ v L1,0.4849745571239588
ESEU,60-40,SP-BQ,6,Untrained,ES- v L1,0.5029218185659025
ESEU,60-40,SP-BQ,7,Untrained,ES+,0.25281899134564423
ESEU,60-40,SP-BQ,7,Untrained,ES-,0.2873441560006399
ESEU,60-40,SP-BQ,7,Untrained,ES+ v L1,0.487436141353274
ESEU,60-40,SP-BQ,7,Untrained,ES- v L1,0.526668413165203
ESEU,60-40,SP-BQ,8,Untrained,ES+,0.2627736473740046
ESEU,60-40,SP-BQ,8,Untrained,ES-,0.29293616984563403
ESEU,60-40,SP-BQ,8,Untrained,ES+ v L1,0.49652877511026694
ESEU,60-40,SP-BQ,8,Untrained,ES- v L1,0.520543763735566
ESEU,60-40,SP-BQ,9,Untrained,ES+,0.2616986300626982
ESEU,60-40,SP-BQ,9,Untrained,ES-,0.2842908342860466
ESEU,60-40,SP-BQ,9,Untrained,ES+ v L1,0.49054376612917083
ESEU,60-40,SP-BQ,9,Untrained,ES- v L1,0.5051014187265844
ESEU,60-40,SP-BQ,0,Trained,ES+,0.27039500994469723
ESEU,60-40,SP-BQ,0,Trained,ES-,0.27533175911956254
ESEU,60-40,SP-BQ,0,Trained,ES+ v L1,0.5234551284278594
ESEU,60-40,SP-BQ,0,Trained,ES- v L1,0.4881206677094743
ESEU,60-40,SP-BQ,1,Trained,ES+,0.31343121653132844
ESEU,60-40,SP-BQ,1,Trained,ES-,0.29756215345583326
ESEU,60-40,SP-BQ,1,Trained,ES+ v L1,0.5817813373487483
ESEU,60-40,SP-BQ,1,Trained,ES- v L1,0.5543030618513491
ESEU,60-40,SP-BQ,2,Trained,ES+,0.28031936987149997
ESEU,60-40,SP-BQ,2,Trained,ES-,0.28689825843026906
ESEU,60-40,SP-BQ,2,Trained,ES+ v L1,0.5271099810284066
ESEU,60-40,SP-BQ,2,Trained,ES- v L1,0.5272162149800527
ESEU,60-40,SP-BQ,3,Trained,ES+,0.3049039301133898
ESEU,60-40,SP-BQ,3,Trained,ES-,0.32699726682528685
ESEU,60-40,SP-BQ,3,Trained,ES+ v L1,0.557227237131741
ESEU,60-40,SP-BQ,3,Trained,ES- v L1,0.5535539562292542
ESEU,60-40,SP-BQ,4,Trained,ES+,0.28403446975476665
ESEU,60-40,SP-BQ,4,Trained,ES-,0.28320901347644606
ESEU,60-40,SP-BQ,4,Trained,ES+ v L1,0.5243365387446269
ESEU,60-40,SP-BQ,4,Trained,ES- v L1,0.5086549409855105
ESEU,60-40,SP-BQ,5,Trained,ES+,0.26063169093069954
ESEU,60-40,SP-BQ,5,Trained,ES-,0.2850561042845189
ESEU,60-40,SP-BQ,5,Trained,ES+ v L1,0.49457557199541685
ESEU,60-40,SP-BQ,5,Trained,ES- v L1,0.4905739297828846
ESEU,60-40,SP-BQ,6,Trained,ES+,0.2780062795136467
ESEU,60-40,SP-BQ,6,Trained,ES-,0.2805633530679057
ESEU,60-40,SP-BQ,6,Trained,ES+ v L1,0.5273848975419554
ESEU,60-40,SP-BQ,6,Trained,ES- v L1,0.5172900328423028
ESEU,60-40,SP-BQ,7,Trained,ES+,0.27612912638841386
ESEU,60-40,SP-BQ,7,Trained,ES-,0.29963097708078307
ESEU,60-40,SP-BQ,7,Trained,ES+ v L1,0.5454337146250314
ESEU,60-40,SP-BQ,7,Trained,ES- v L1,0.5561746809082879
ESEU,60-40,SP-BQ,8,Trained,ES+,0.2705768455679909
ESEU,60-40,SP-BQ,8,Trained,ES-,0.2954345295981738
ESEU,60-40,SP-BQ,8,Trained,ES+ v L1,0.513328427302904
ESEU,60-40,SP-BQ,8,Trained,ES- v L1,0.5037258583733996
ESEU,60-40,SP-BQ,9,Trained,ES+,0.27689140998488626
ESEU,60-40,SP-BQ,9,Trained,ES-,0.26581910973621337
ESEU,60-40,SP-BQ,9,Trained,ES+ v L1,0.5069484112546712
ESEU,60-40,SP-BQ,9,Trained,ES- v L1,0.46458903201511736
