category,run,dataset,Split,Version,loss,Accuracy,lang,Set,Language
ESEU,3,ESP-EUS.csv,val_l2,ES-EU,2.0301705,33.37888176,L2_EUS,VAL,Basque (EU)
ESEU,3,ESP-EUS.csv,test_l2,ES-EU,2.026376379,33.63613272,L2_EUS,TEST,Basque (EU)
ESEU,4,ESP-ENG.csv,val_l1,ES-EU,1.990731347,35.02395896,L1,VAL,Spanish (ES)
ESEU,4,ESP-ENG.csv,val_l2,ES-EU,3.106854558,17.58680968,L2_ENG,VAL,English (EN)
ESEU,4,ESP-ENG.csv,test_l1,ES-EU,2.006169021,34.45317742,L1,TEST,Spanish (ES)
ESEU,4,ESP-ENG.csv,test_l2,ES-EU,3.138259315,18.26957179,L2_ENG,TEST,English (EN)
ESEU,4,ESP-EUS.csv,val_l2,ES-EU,2.047198176,32.46545123,L2_EUS,VAL,Basque (EU)
ESEU,4,ESP-EUS.csv,test_l2,ES-EU,2.052874887,33.14875257,L2_EUS,TEST,Basque (EU)
ESEU,5,ESP-ENG.csv,val_l1,ES-EU,1.971286261,35.30015925,L1,VAL,Spanish (ES)
ESEU,5,ESP-ENG.csv,val_l2,ES-EU,3.139220214,17.91500622,L2_ENG,VAL,English (EN)
ESEU,5,ESP-ENG.csv,test_l1,ES-EU,1.988223946,35.52127013,L1,TEST,Spanish (ES)
ESEU,5,ESP-ENG.csv,test_l2,ES-EU,3.172730494,18.86497005,L2_ENG,TEST,English (EN)
ESEU,5,ESP-EUS.csv,val_l2,ES-EU,2.045849061,33.3474605,L2_EUS,VAL,Basque (EU)
ESEU,5,ESP-EUS.csv,test_l2,ES-EU,2.039024866,33.8512891,L2_EUS,TEST,Basque (EU)
ESEU,6,ESP-ENG.csv,val_l1,ES-EU,1.97248019,35.15990432,L1,VAL,Spanish (ES)
ESEU,6,ESP-ENG.csv,val_l2,ES-EU,3.182422352,16.95348369,L2_ENG,VAL,English (EN)
ESEU,6,ESP-ENG.csv,test_l1,ES-EU,1.989015806,34.93354091,L1,TEST,Spanish (ES)
ESEU,6,ESP-ENG.csv,test_l2,ES-EU,3.219442725,17.4468374,L2_ENG,TEST,English (EN)
ESEU,6,ESP-EUS.csv,val_l2,ES-EU,2.039725304,33.04699785,L2_EUS,VAL,Basque (EU)
ESEU,6,ESP-EUS.csv,test_l2,ES-EU,2.034699154,33.57125739,L2_EUS,TEST,Basque (EU)
ESEU,7,ESP-ENG.csv,val_l1,ES-EU,1.973641312,34.70625239,L1,VAL,Spanish (ES)
ESEU,7,ESP-ENG.csv,val_l2,ES-EU,3.173455691,18.24231829,L2_ENG,VAL,English (EN)
ESEU,7,ESP-ENG.csv,test_l1,ES-EU,1.984252834,34.98384096,L1,TEST,Spanish (ES)
ESEU,7,ESP-ENG.csv,test_l2,ES-EU,3.231266046,18.51194584,L2_ENG,TEST,English (EN)
ESEU,7,ESP-EUS.csv,val_l2,ES-EU,2.031415474,33.3824884,L2_EUS,VAL,Basque (EU)
ESEU,7,ESP-EUS.csv,test_l2,ES-EU,2.039245415,33.84862124,L2_EUS,TEST,Basque (EU)
ESEU,8,ESP-ENG.csv,val_l1,ES-EU,1.973077118,35.0090205,L1,VAL,Spanish (ES)
ESEU,8,ESP-ENG.csv,val_l2,ES-EU,3.165441132,17.60401737,L2_ENG,VAL,English (EN)
ESEU,8,ESP-ENG.csv,test_l1,ES-EU,1.990040886,34.84051638,L1,TEST,Spanish (ES)
ESEU,8,ESP-ENG.csv,test_l2,ES-EU,3.212076163,18.08638485,L2_ENG,TEST,English (EN)
ESEU,8,ESP-EUS.csv,val_l2,ES-EU,2.047211123,32.93454999,L2_EUS,VAL,Basque (EU)
ESEU,8,ESP-EUS.csv,test_l2,ES-EU,2.037251461,33.01245158,L2_EUS,TEST,Basque (EU)
ESEU,9,ESP-ENG.csv,val_l1,ES-EU,1.974752295,34.88780075,L1,VAL,Spanish (ES)
ESEU,9,ESP-ENG.csv,val_l2,ES-EU,3.170917606,17.9601499,L2_ENG,VAL,English (EN)
ESEU,9,ESP-ENG.csv,test_l1,ES-EU,1.997313786,34.5667543,L1,TEST,Spanish (ES)
ESEU,9,ESP-ENG.csv,test_l2,ES-EU,3.209665537,18.24725114,L2_ENG,TEST,English (EN)
ESEU,9,ESP-EUS.csv,val_l2,ES-EU,2.021557808,33.26565789,L2_EUS,VAL,Basque (EU)
ESEU,9,ESP-EUS.csv,test_l2,ES-EU,2.018254483,34.30977032,L2_EUS,TEST,Basque (EU)
